order_id,city,assigned_facility,assignment_distance_km,assigned_radius_km,expected_breach_prob,after_coverage,assigned_month_orders,after_fixed_cost_per_order,after_variable_cost_inr,after_cost_to_serve_inr
ORD0000001,Pune,CS-01,0.827279,3.500000,0.011953,1,9945,14.087481,36.149525,50.237006
ORD0000002,Pune,PUN-01,3.258424,3.500000,0.408118,1,4724,23.666384,65.052504,88.718888
ORD0000004,Pune,PUN-03,3.054770,3.500000,0.329504,1,6179,17.251983,61.268496,78.520478
ORD0000007,Pune,PUN-01,3.949055,3.500000,0.684986,0,4724,23.666384,78.192957,101.859342
ORD0000009,Pune,PUN-06,2.149812,2.500000,0.098377,1,8315,13.337342,47.999988,61.337330
ORD0000014,Pune,PUN-03,1.743043,3.500000,0.052558,1,6179,17.251983,43.778033,61.030016
ORD0000015,Pune,CS-01,1.513594,3.500000,0.036494,1,9945,14.087481,41.689978,55.777459
ORD0000017,Pune,PUN-05,4.818530,4.000000,0.902272,0,6302,14.487464,90.797884,105.285348
ORD0000018,Pune,PUN-01,2.163646,3.500000,0.100436,1,4724,23.666384,48.158614,71.824999
ORD0000019,Pune,PUN-03,1.268043,3.500000,0.024560,1,6179,17.251983,39.613086,56.865068
ORD0000022,Pune,CS-01,1.088857,3.500000,0.018347,1,9945,14.087481,38.172402,52.259883
ORD0000026,Pune,PUN-01,0.404979,3.500000,0.005958,1,4724,23.666384,33.013589,56.679974
ORD0000031,Pune,PUN-03,0.351335,3.500000,0.005452,1,6179,17.251983,32.622906,49.874889
ORD0000035,Pune,PUN-01,0.705226,3.500000,0.009778,1,4724,23.666384,35.229933,58.896317
ORD0000038,Pune,PUN-06,3.661707,2.500000,0.574177,0,8315,13.337342,72.857273,86.194615
ORD0000042,Pune,CS-01,3.177207,3.500000,0.375940,1,9945,14.087481,63.518649,77.606130
ORD0000043,Pune,PUN-05,5.537858,4.000000,0.968293,0,6302,14.487464,97.813787,112.301252
ORD0000046,Pune,PUN-06,2.068117,2.500000,0.086966,1,8315,13.337342,47.085804,60.423147
ORD0000048,Pune,CS-01,0.662739,3.500000,0.009117,1,9945,14.087481,34.912694,49.000175
ORD0000051,Pune,PUN-06,3.544309,2.500000,0.525897,0,8315,13.337342,70.587070,83.924412
ORD0000052,Pune,PUN-01,1.156864,3.500000,0.020499,1,4724,23.666384,38.713006,62.379391
ORD0000053,Pune,PUN-06,0.893075,2.500000,0.013316,1,8315,13.337342,36.651010,49.988352
ORD0000054,Pune,PUN-06,3.146613,2.500000,0.364081,0,8315,13.337342,62.948721,76.286063
ORD0000055,Pune,PUN-03,1.548357,3.500000,0.038582,1,6179,17.251983,41.995959,59.247941
ORD0000058,Pune,PUN-03,0.813691,3.500000,0.011689,1,6179,17.251983,36.046493,53.298475
ORD0000060,Pune,PUN-05,1.114997,4.000000,0.019146,1,6302,14.487464,38.379368,52.866833
ORD0000067,Pune,PUN-04,0.895646,2.500000,0.013372,1,3178,31.749528,36.670699,68.420227
ORD0000068,Pune,PUN-01,0.524057,3.500000,0.007253,1,4724,23.666384,33.885992,57.552377
ORD0000070,Pune,PUN-05,0.673053,4.000000,0.009274,1,6302,14.487464,34.989575,49.477039
ORD0000076,Pune,PUN-03,0.952880,3.500000,0.014688,1,6179,17.251983,37.110808,54.362790
ORD0000077,Pune,CS-01,2.653038,3.500000,0.201247,1,9945,14.087481,54.608673,68.696154
ORD0000081,Pune,PUN-05,1.247378,4.000000,0.023750,1,6302,14.487464,39.444135,53.931599
ORD0000086,Pune,PUN-04,2.965175,2.500000,0.297459,0,3178,31.749528,59.679991,91.429519
ORD0000089,Pune,CS-01,3.395878,3.500000,0.464270,1,9945,14.087481,67.699260,81.786741
ORD0000090,Pune,PUN-06,1.124458,2.500000,0.019444,1,8315,13.337342,38.454526,51.791869
ORD0000095,Pune,CS-01,2.549103,3.500000,0.174889,1,9945,14.087481,53.090405,67.177886
ORD0000096,Pune,PUN-03,2.224293,3.500000,0.109923,1,6179,17.251983,48.867737,66.119719
ORD0000097,Pune,CS-01,1.596986,3.500000,0.041696,1,9945,14.087481,42.429795,56.517276
ORD0000098,Pune,PUN-04,1.946040,2.500000,0.072140,1,3178,31.749528,45.786483,77.536011
ORD0000104,Pune,CS-01,1.494719,3.500000,0.035406,1,9945,14.087481,41.525217,55.612698
ORD0000106,Pune,PUN-05,1.414816,4.000000,0.031138,1,6302,14.487464,40.837839,55.325303
ORD0000114,Pune,CS-01,2.206043,3.500000,0.106988,1,9945,14.087481,48.651956,62.739437
ORD0000117,Pune,PUN-01,0.325645,3.500000,0.005225,1,4724,23.666384,32.436273,56.102658
ORD0000119,Pune,PUN-06,2.371991,2.500000,0.136354,1,8315,13.337342,50.694570,64.031912
ORD0000121,Pune,PUN-05,3.576753,4.000000,0.539328,1,6302,14.487464,71.217095,85.704560
ORD0000124,Pune,CS-01,1.520655,3.500000,0.036909,1,9945,14.087481,41.751858,55.839339
ORD0000126,Pune,PUN-05,1.078634,4.000000,0.018043,1,6302,14.487464,38.091736,52.579200
ORD0000131,Pune,PUN-06,1.586228,2.500000,0.040987,1,8315,13.337342,42.333210,55.670552
ORD0000132,Pune,PUN-05,1.482477,4.000000,0.034717,1,6302,14.487464,41.418856,55.906320
ORD0000135,Pune,CS-01,2.993346,3.500000,0.307341,1,9945,14.087481,60.173650,74.261131
ORD0000137,Pune,PUN-06,1.647275,2.500000,0.045169,1,8315,13.337342,42.886001,56.223343
ORD0000141,Pune,CS-01,0.968838,3.500000,0.015077,1,9945,14.087481,37.234184,51.321665
ORD0000144,Pune,PUN-06,1.754338,2.500000,0.053501,1,8315,13.337342,43.885389,57.222731
ORD0000145,Pune,PUN-06,1.670183,2.500000,0.046841,1,8315,13.337342,43.096508,56.433850
ORD0000146,Pune,CS-01,0.589144,3.500000,0.008076,1,9945,14.087481,34.366275,48.453756
ORD0000151,Pune,PUN-01,0.752808,3.500000,0.010575,1,4724,23.666384,35.586908,59.253292
ORD0000155,Pune,PUN-05,0.764371,4.000000,0.010778,1,6302,14.487464,35.673936,50.161400
ORD0000157,Pune,PUN-03,2.084574,3.500000,0.089164,1,6179,17.251983,47.266938,64.518921
ORD0000159,Pune,CS-01,3.852390,3.500000,0.649314,0,9945,14.087481,76.446146,90.533627
ORD0000162,Pune,CS-01,1.238888,3.500000,0.023424,1,9945,14.087481,39.374947,53.462428
ORD0000165,Pune,CS-01,1.028352,3.500000,0.016620,1,9945,14.087481,37.697059,51.784540
ORD0000169,Pune,PUN-01,0.992071,3.500000,0.015662,1,4724,23.666384,37.414353,61.080738
ORD0000172,Pune,PUN-01,0.748908,3.500000,0.010507,1,4724,23.666384,35.557578,59.223963
ORD0000174,Pune,PUN-05,0.455256,4.000000,0.006474,1,6302,14.487464,33.381013,47.868477
ORD0000175,Pune,CS-01,2.690782,3.500000,0.211526,1,9945,14.087481,55.181271,69.268752
ORD0000176,Pune,CS-01,1.060674,3.500000,0.017522,1,9945,14.087481,37.950360,52.037841
ORD0000179,Pune,CS-01,1.216111,3.500000,0.022573,1,9945,14.087481,39.189977,53.277458
ORD0000181,Pune,PUN-06,0.977006,2.500000,0.015280,1,8315,13.337342,37.297449,50.634791
ORD0000183,Pune,PUN-03,1.342774,3.500000,0.027719,1,6179,17.251983,40.230997,57.482980
ORD0000184,Pune,PUN-03,1.771055,3.500000,0.054926,1,6179,17.251983,44.045174,61.297156
ORD0000185,Pune,PUN-06,3.510533,2.500000,0.511876,0,8315,13.337342,69.930000,83.267342
ORD0000192,Pune,PUN-06,3.884989,2.500000,0.661556,0,8315,13.337342,77.041614,90.378956
ORD0000195,Pune,PUN-06,0.583445,2.500000,0.008000,1,8315,13.337342,34.324116,47.661459
ORD0000199,Pune,PUN-05,4.045585,4.000000,0.718556,0,6302,14.487464,79.875780,94.363244
ORD0000200,Pune,CS-01,1.868029,3.500000,0.063924,1,9945,14.087481,44.993926,59.081407
ORD0000202,Pune,PUN-03,2.650453,3.500000,0.200557,1,6179,17.251983,54.569884,71.821866
ORD0000204,Pune,CS-01,1.228530,3.500000,0.023034,1,9945,14.087481,39.290717,53.378198
ORD0000207,Pune,PUN-06,2.360165,2.500000,0.134055,1,8315,13.337342,50.542803,63.880146
ORD0000208,Pune,PUN-04,2.788687,2.500000,0.239954,0,3178,31.749528,56.719426,88.468954
ORD0000209,Pune,CS-01,2.120870,3.500000,0.094189,1,9945,14.087481,47.671767,61.759248
ORD0000210,Pune,PUN-06,0.871522,2.500000,0.012853,1,8315,13.337342,36.486252,49.823594
ORD0000218,Pune,PUN-06,0.887380,2.500000,0.013192,1,8315,13.337342,36.607429,49.944771
ORD0000220,Pune,PUN-06,0.771624,2.500000,0.010907,1,8315,13.337342,35.728593,49.065935
ORD0000221,Pune,CS-01,1.731060,3.500000,0.051574,1,9945,14.087481,43.664639,57.752120
ORD0000228,Pune,PUN-04,0.806907,2.500000,0.011559,1,3178,31.749528,35.995119,67.744647
ORD0000229,Pune,PUN-05,1.208172,4.000000,0.022284,1,6302,14.487464,39.125723,53.613187
ORD0000230,Pune,PUN-03,1.327665,3.500000,0.027050,1,6179,17.251983,40.105161,57.357143
ORD0000232,Pune,PUN-03,1.177910,3.500000,0.021213,1,6179,17.251983,38.881768,56.133750
ORD0000237,Pune,CS-01,1.103658,3.500000,0.018795,1,9945,14.087481,38.289472,52.376953
ORD0000238,Pune,PUN-04,3.890812,2.500000,0.663721,0,3178,31.749528,77.147314,108.896842
ORD0000240,Pune,PUN-06,2.796394,2.500000,0.242299,0,8315,13.337342,56.843741,70.181084
ORD0000241,Pune,PUN-06,1.340510,2.500000,0.027618,1,8315,13.337342,40.212116,53.549458
ORD0000246,Pune,PUN-06,3.582417,2.500000,0.541667,0,8315,13.337342,71.326927,84.664270
ORD0000247,Pune,PUN-05,1.219829,4.000000,0.022710,1,6302,14.487464,39.220106,53.707570
ORD0000248,Pune,PUN-04,2.827230,2.500000,0.251838,0,3178,31.749528,57.345748,89.095276
ORD0000249,Pune,PUN-06,3.535617,2.500000,0.522292,0,8315,13.337342,70.418063,83.755405
ORD0000253,Pune,PUN-03,1.041493,3.500000,0.016981,1,6179,17.251983,37.799876,55.051858
ORD0000255,Pune,PUN-04,1.507653,2.500000,0.036148,1,3178,31.749528,41.638011,73.387539
ORD0000257,Pune,PUN-03,0.547581,3.500000,0.007540,1,6179,17.251983,34.059272,51.311255
ORD0000258,Pune,PUN-03,2.245903,3.500000,0.113489,1,6179,17.251983,49.125985,66.377967
ORD0000260,Pune,PUN-04,1.369105,2.500000,0.028924,1,3178,31.749528,40.451465,72.200993
ORD0000261,Pune,PUN-01,1.209384,3.500000,0.022328,1,4724,23.666384,39.135523,62.801908
ORD0000262,Pune,PUN-03,1.170357,3.500000,0.020954,1,6179,17.251983,38.821122,56.073105
ORD0000263,Pune,PUN-06,3.440662,2.500000,0.482835,0,8315,13.337342,68.569689,81.907031
ORD0000268,Pune,CS-01,1.045504,3.500000,0.017092,1,9945,14.087481,37.831301,51.918782
ORD0000269,Pune,CS-01,2.847719,3.500000,0.258312,1,9945,14.087481,57.683387,71.770868
ORD0000271,Pune,CS-01,1.473602,3.500000,0.034226,1,9945,14.087481,41.342001,55.429482
ORD0000272,Pune,PUN-01,2.567918,3.500000,0.179451,1,4724,23.666384,53.358942,77.025327
ORD0000276,Pune,PUN-03,1.831762,3.500000,0.060409,1,6179,17.251983,44.634590,61.886573
ORD0000278,Pune,PUN-04,3.896755,2.500000,0.665924,0,3178,31.749528,77.254994,109.004522
ORD0000280,Pune,CS-01,0.949869,3.500000,0.014616,1,9945,14.087481,37.087557,51.175039
ORD0000289,Pune,PUN-05,1.389241,4.000000,0.029880,1,6302,14.487464,40.621079,55.108543
ORD0000290,Pune,PUN-04,2.662599,2.500000,0.203815,0,3178,31.749528,54.752647,86.502175
ORD0000294,Pune,PUN-03,2.813912,3.500000,0.247688,1,6179,17.251983,57.128018,74.380001
ORD0000296,Pune,PUN-06,1.287076,2.500000,0.025329,1,8315,13.337342,39.769413,53.106756
ORD0000298,Pune,PUN-06,1.627610,2.500000,0.043779,1,8315,13.337342,42.706657,56.043999
ORD0000299,Pune,PUN-04,2.143633,2.500000,0.097469,1,3178,31.749528,47.929506,79.679034
ORD0000302,Pune,PUN-03,0.605345,3.500000,0.008294,1,6179,17.251983,34.486244,51.738227
ORD0000303,Pune,PUN-03,1.011370,3.500000,0.016164,1,6179,17.251983,37.564525,54.816508
ORD0000307,Pune,PUN-06,1.019713,2.500000,0.016387,1,8315,13.337342,37.629588,50.966931
ORD0000308,Pune,PUN-01,3.194773,3.500000,0.382818,1,4724,23.666384,63.847952,87.514337
ORD0000311,Pune,PUN-05,1.548408,4.000000,0.038585,1,6302,14.487464,41.996408,56.483872
ORD0000312,Pune,PUN-03,1.798740,3.500000,0.057366,1,6179,17.251983,44.312156,61.564138
ORD0000314,Pune,CS-01,2.705573,3.500000,0.215658,1,9945,14.087481,55.408743,69.496224
ORD0000315,Pune,CS-01,0.647945,3.500000,0.008898,1,9945,14.087481,34.802545,48.890026
ORD0000316,Pune,PUN-03,2.567541,3.500000,0.179358,1,6179,17.251983,53.353531,70.605513
ORD0000317,Pune,PUN-04,1.979776,2.500000,0.075987,1,3178,31.749528,46.138038,77.887566
ORD0000318,Pune,PUN-04,2.085357,2.500000,0.089270,1,3178,31.749528,47.275601,79.025129
ORD0000319,Pune,PUN-03,0.689192,3.500000,0.009523,1,6179,17.251983,35.110047,52.362030
ORD0000321,Pune,PUN-01,1.103802,3.500000,0.018800,1,4724,23.666384,38.290608,61.956992
