site_id,city,pincode,area_sqft,rent_inr,fitout_inr,imputed_monthly_fixed_inr,orders_captured,capture_share,high_risk_orders_captured,avg_distance_if_open,expected_breach_if_open,coverage_if_open,candidate_assigned_avg_distance,candidate_assigned_avg_breach
CS-07,Hyderabad,500049,2750,77000,1580000,59400.000000,11192,0.163189,11192,1.833984,0.174910,0.767129,1.675230,0.149730
CS-06,Hyderabad,500019,3100,81000,1720000,59400.000000,9437,0.137600,9437,1.849373,0.169869,0.779668,1.702566,0.132735
CS-10,Hyderabad,500032,3200,175000,2140000,59400.000000,6640,0.096817,6602,1.955602,0.204004,0.734293,1.106112,0.017766
CS-09,Hyderabad,500033,2600,190000,2380000,59400.000000,6266,0.091364,1084,2.039484,0.230465,0.680971,1.296895,0.090562
CS-08,Hyderabad,500081,2300,96000,1460000,59400.000000,6911,0.100768,732,2.128240,0.238767,0.678594,1.839798,0.122057
CS-11,Jaipur,302012,2500,56000,1240000,46900.000000,6947,0.180320,6947,1.886204,0.199299,0.825131,1.832090,0.207312
CS-13,Jaipur,302021,2400,49000,1090000,46900.000000,4715,0.122385,4715,1.967532,0.210095,0.838291,1.904829,0.201440
CS-14,Jaipur,302015,1950,61000,980000,46900.000000,5158,0.133884,4092,2.237818,0.275852,0.742615,2.726746,0.382903
CS-12,Jaipur,302020,2850,52000,1180000,46900.000000,2623,0.068084,2623,1.994161,0.224179,0.793334,1.076415,0.025676
CS-15,Jaipur,302033,2700,41000,920000,46900.000000,2725,0.070731,2107,2.234146,0.281533,0.728002,3.588997,0.637113
CS-01,Pune,411057,2650,82000,1650000,58100.000000,14773,0.186889,14773,1.870980,0.158575,0.845763,1.651341,0.117386
CS-02,Pune,411045,2400,76000,1480000,58100.000000,12691,0.160550,10711,2.033176,0.192162,0.806798,2.041682,0.176651
CS-05,Pune,411014,2050,79000,1310000,58100.000000,6233,0.078852,6233,2.148840,0.220671,0.797766,1.170905,0.029088
CS-03,Pune,411048,2900,64000,1520000,58100.000000,3851,0.048718,3851,1.990120,0.184547,0.817691,1.111676,0.040728
CS-04,Pune,411038,2200,88000,1390000,58100.000000,1029,0.013018,0,2.225044,0.229820,0.770225,0.428925,0.006638
