order_id,city,assigned_facility,assignment_distance_km,expected_breach_prob,after_coverage,assigned_month_orders,fixed_cost_per_order,variable_cost_per_order,cost_to_serve
ORD0000001,Pune,CS-01,0.82727853,0.01195251,1,9945,14.08748115,36.14952513,50.23700628
ORD0000002,Pune,PUN-01,3.25842365,0.40811793,1,4724,23.66638442,65.05250350,88.71888792
ORD0000004,Pune,PUN-03,3.05476982,0.32950357,1,6179,17.25198252,61.26849577,78.52047829
ORD0000007,Pune,PUN-01,3.94905465,0.68498582,0,4724,23.66638442,78.19295721,101.85934163
ORD0000009,Pune,PUN-06,2.14981209,0.09837676,1,8315,13.33734215,47.99998755,61.33732971
ORD0000014,Pune,PUN-03,1.74304344,0.05255764,1,6179,17.25198252,43.77803324,61.03001576
ORD0000015,Pune,CS-01,1.51359437,0.03649391,1,9945,14.08748115,41.68997778,55.77745892
ORD0000017,Pune,PUN-05,4.81852991,0.90227248,0,6302,14.48746430,90.79788386,105.28534815
ORD0000018,Pune,PUN-01,2.16364625,0.10043635,1,4724,23.66638442,48.15861416,71.82499858
ORD0000019,Pune,PUN-03,1.26804293,0.02455951,1,6179,17.25198252,39.61308584,56.86506836
ORD0000022,Pune,CS-01,1.08885661,0.01834685,1,9945,14.08748115,38.17240183,52.25988297
ORD0000026,Pune,PUN-01,0.40497937,0.00595779,1,4724,23.66638442,33.01358926,56.67997368
ORD0000031,Pune,PUN-03,0.35133488,0.00545208,1,6179,17.25198252,32.62290645,49.87488897
ORD0000035,Pune,PUN-01,0.70522628,0.00977829,1,4724,23.66638442,35.22993268,58.89631710
ORD0000038,Pune,PUN-06,3.66170686,0.57417750,0,8315,13.33734215,72.85727294,86.19461509
ORD0000042,Pune,CS-01,3.17720662,0.37594009,1,9945,14.08748115,63.51864895,77.60613009
ORD0000043,Pune,PUN-05,5.53785788,0.96829274,0,6302,14.48746430,97.81378732,112.30125162
ORD0000046,Pune,PUN-06,2.06811676,0.08696624,1,8315,13.33734215,47.08580438,60.42314654
ORD0000048,Pune,CS-01,0.66273924,0.00911731,1,9945,14.08748115,34.91269408,49.00017523
ORD0000051,Pune,PUN-06,3.54430866,0.52589697,0,8315,13.33734215,70.58706967,83.92441182
ORD0000052,Pune,PUN-01,1.15686368,0.02049868,1,4724,23.66638442,38.71300619,62.37939061
ORD0000053,Pune,PUN-06,0.89307484,0.01331620,1,8315,13.33734215,36.65100973,49.98835188
ORD0000054,Pune,PUN-06,3.14661283,0.36408105,0,8315,13.33734215,62.94872125,76.28606340
ORD0000055,Pune,PUN-03,1.54835686,0.03858202,1,6179,17.25198252,41.99595864,59.24794116
ORD0000058,Pune,PUN-03,0.81369074,0.01168858,1,6179,17.25198252,36.04649250,53.29847502
ORD0000060,Pune,PUN-05,1.11499666,0.01914640,1,6302,14.48746430,38.37936849,52.86683279
ORD0000067,Pune,PUN-04,0.89564623,0.01337250,1,3178,31.74952801,36.67069858,68.42022658
ORD0000068,Pune,PUN-01,0.52405718,0.00725307,1,4724,23.66638442,33.88599224,57.55237666
ORD0000070,Pune,PUN-05,0.67305253,0.00927357,1,6302,14.48746430,34.98957493,49.47703923
ORD0000076,Pune,PUN-03,0.95288011,0.01468823,1,6179,17.25198252,37.11080776,54.36279028
ORD0000077,Pune,CS-01,2.65303767,0.20124697,1,9945,14.08748115,54.60867270,68.69615384
ORD0000081,Pune,PUN-05,1.24737836,0.02374955,1,6302,14.48746430,39.44413505,53.93159935
ORD0000086,Pune,PUN-04,2.96517536,0.29745879,0,3178,31.74952801,59.67999105,91.42951905
ORD0000089,Pune,CS-01,3.39587803,0.46427047,1,9945,14.08748115,67.69926025,81.78674140
ORD0000090,Pune,PUN-06,1.12445755,0.01944412,1,8315,13.33734215,38.45452641,51.79186856
ORD0000095,Pune,CS-01,2.54910329,0.17488940,1,9945,14.08748115,53.09040497,67.17788611
ORD0000096,Pune,PUN-03,2.22429292,0.10992287,1,6179,17.25198252,48.86773670,66.11971922
ORD0000097,Pune,CS-01,1.59698637,0.04169635,1,9945,14.08748115,42.42979501,56.51727615
ORD0000098,Pune,PUN-04,1.94603959,0.07214018,1,3178,31.74952801,45.78648265,77.53601066
ORD0000104,Pune,CS-01,1.49471921,0.03540609,1,9945,14.08748115,41.52521722,55.61269837
ORD0000106,Pune,PUN-05,1.41481559,0.03113766,1,6302,14.48746430,40.83783904,55.32530334
ORD0000114,Pune,CS-01,2.20604322,0.10698844,1,9945,14.08748115,48.65195572,62.73943687
ORD0000117,Pune,PUN-01,0.32564512,0.00522525,1,4724,23.66638442,32.43627321,56.10265763
ORD0000119,Pune,PUN-06,2.37199090,0.13635444,1,8315,13.33734215,50.69456952,64.03191168
ORD0000121,Pune,PUN-05,3.57675275,0.53932754,1,6302,14.48746430,71.21709530,85.70455960
ORD0000124,Pune,CS-01,1.52065519,0.03690904,1,9945,14.08748115,41.75185762,55.83933877
ORD0000126,Pune,PUN-05,1.07863438,0.01804318,1,6302,14.48746430,38.09173591,52.57920021
ORD0000131,Pune,PUN-06,1.58622751,0.04098725,1,8315,13.33734215,42.33321003,55.67055218
ORD0000132,Pune,PUN-05,1.48247665,0.03471730,1,6302,14.48746430,41.41885557,55.90631987
ORD0000135,Pune,CS-01,2.99334594,0.30734094,1,9945,14.08748115,60.17364985,74.26113100
ORD0000137,Pune,PUN-06,1.64727524,0.04516915,1,8315,13.33734215,42.88600118,56.22334333
ORD0000141,Pune,CS-01,0.96883786,0.01507729,1,9945,14.08748115,37.23418376,51.32166490
ORD0000144,Pune,PUN-06,1.75433772,0.05350082,1,8315,13.33734215,43.88538878,57.22273094
