city,mask,active_count,active_ids,existing_count,candidate_count,avg_cost,avg_distance,expected_breach,coverage,monthly_fixed_total,fitout_total,p95_distance
Pune,1,1,PUN-01,1,0,114.26287199,8.03718853,0.83912843,0.15641327,111800.00000000,0.00000000,13.67562485
Pune,2,1,PUN-02,1,0,109.81887730,7.58471394,0.80703086,0.15023973,99400.00000000,0.00000000,12.97465706
Pune,3,2,PUN-01|PUN-02,2,0,111.57697421,7.50139475,0.79078507,0.18367553,211200.00000000,0.00000000,12.97465706
Pune,4,1,PUN-03,1,0,108.30107992,7.31383467,0.81357038,0.17528812,106600.00000000,0.00000000,15.02819538
Pune,5,2,PUN-01|PUN-03,2,0,95.69646302,5.75415421,0.66305190,0.33170139,218400.00000000,0.00000000,12.92675686
Pune,6,2,PUN-02|PUN-03,2,0,92.88288249,5.51626158,0.63523197,0.32552785,206000.00000000,0.00000000,12.38466072
Pune,7,3,PUN-01|PUN-02|PUN-03,3,0,94.64097940,5.43294382,0.61898625,0.35896365,317800.00000000,0.00000000,12.38466072
Pune,8,1,PUN-04,1,0,128.80217482,9.81619644,0.91786295,0.05336066,100900.00000000,0.00000000,16.33279800
Pune,9,2,PUN-01|PUN-04,2,0,102.51357936,6.34071636,0.75823188,0.20977393,212700.00000000,0.00000000,12.36294365
Pune,10,2,PUN-02|PUN-04,2,0,99.55940507,6.09697056,0.72709143,0.20360039,200300.00000000,0.00000000,12.05370331
Pune,11,3,PUN-01|PUN-02|PUN-04,3,0,101.31750198,6.01365185,0.71084565,0.23703619,312100.00000000,0.00000000,12.05370331
Pune,12,2,PUN-03|PUN-04,2,0,92.58848804,5.05343914,0.73214573,0.22864878,207500.00000000,0.00000000,9.27166557
Pune,13,3,PUN-01|PUN-03|PUN-04,3,0,84.29054216,4.10665321,0.58217436,0.38506205,319300.00000000,0.00000000,8.80406284
Pune,14,3,PUN-02|PUN-03|PUN-04,3,0,82.63709235,4.03047371,0.55529255,0.37888851,306900.00000000,0.00000000,8.73971844
Pune,15,4,PUN-01|PUN-02|PUN-03|PUN-04,4,0,84.39518925,3.94715571,0.53904676,0.41232431,418700.00000000,0.00000000,8.73971844
Pune,16,1,PUN-05,1,0,140.29056976,11.59413052,0.89405471,0.10549420,91300.00000000,0.00000000,20.62602425
Pune,17,2,PUN-01|PUN-05,2,0,99.68963447,6.07855940,0.73336691,0.26190747,203100.00000000,0.00000000,12.36294365
Pune,18,2,PUN-02|PUN-05,2,0,96.65430482,5.82594872,0.70158964,0.25573393,190700.00000000,0.00000000,12.05370331
Pune,19,3,PUN-01|PUN-02|PUN-05,3,0,98.41240172,5.74263000,0.68534392,0.28916973,302500.00000000,0.00000000,12.05370331
Pune,20,2,PUN-03|PUN-05,2,0,89.79453273,4.79388618,0.70767272,0.28078232,197900.00000000,0.00000000,8.36786938
Pune,21,3,PUN-01|PUN-03|PUN-05,3,0,81.46134713,3.84382701,0.55729038,0.43719559,309700.00000000,0.00000000,7.35966444
Pune,22,3,PUN-02|PUN-03|PUN-05,3,0,79.73199209,3.75945163,0.52979082,0.43102205,297300.00000000,0.00000000,7.35966444
Pune,23,4,PUN-01|PUN-02|PUN-03|PUN-05,4,0,81.49008900,3.67613339,0.51354504,0.46445785,409100.00000000,0.00000000,7.35966444
Pune,24,2,PUN-04|PUN-05,2,0,123.59828539,9.15292168,0.82216352,0.15881691,192200.00000000,0.00000000,16.33279800
Pune,25,3,PUN-01|PUN-04|PUN-05,3,0,97.48056922,5.70184517,0.66253436,0.31523018,304000.00000000,0.00000000,12.36294365
Pune,26,3,PUN-02|PUN-04|PUN-05,3,0,94.56352425,5.46338558,0.63139790,0.30905664,291600.00000000,0.00000000,12.05370331
Pune,27,4,PUN-01|PUN-02|PUN-04|PUN-05,4,0,96.32162115,5.38006735,0.61515212,0.34249244,403400.00000000,0.00000000,12.05370331
Pune,28,3,PUN-03|PUN-04|PUN-05,3,0,87.40500283,4.39307928,0.63644630,0.33410503,298800.00000000,0.00000000,8.36786938
Pune,29,4,PUN-01|PUN-03|PUN-04|PUN-05,4,0,79.25753201,3.46778154,0.48647684,0.49051830,410600.00000000,0.00000000,6.90280533
Pune,30,4,PUN-02|PUN-03|PUN-04|PUN-05,4,0,77.64121152,3.39688897,0.45959905,0.48434476,398200.00000000,0.00000000,6.90280533
Pune,31,5,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05,5,0,79.39930843,3.31357050,0.44335333,0.51778056,510000.00000000,0.00000000,6.90280533
Pune,32,1,PUN-06,1,0,105.96240003,7.03475285,0.79710692,0.16625552,110900.00000000,0.00000000,12.47589207
Pune,33,2,PUN-01|PUN-06,2,0,101.38703503,6.39166594,0.70035845,0.27754374,222700.00000000,0.00000000,12.29662037
Pune,34,2,PUN-02|PUN-06,2,0,101.46867808,6.39128876,0.71362573,0.24881400,210300.00000000,0.00000000,12.05370331
Pune,35,3,PUN-01|PUN-02|PUN-06,3,0,103.22677498,6.30797005,0.69738001,0.28224980,322100.00000000,0.00000000,12.05370331
Pune,36,2,PUN-03|PUN-06,2,0,88.19389912,4.84408760,0.62607443,0.34154364,217500.00000000,0.00000000,9.38207340
Pune,37,3,PUN-01|PUN-03|PUN-06,3,0,84.44885046,4.31665659,0.53001666,0.45283186,329300.00000000,0.00000000,9.38207340
Pune,38,3,PUN-02|PUN-03|PUN-06,3,0,85.07522724,4.38698816,0.54494321,0.42410212,316900.00000000,0.00000000,9.38197231
Pune,39,4,PUN-01|PUN-02|PUN-03|PUN-06,4,0,86.83332414,4.30366993,0.52869743,0.45753792,428700.00000000,0.00000000,9.38197231
Pune,40,2,PUN-04|PUN-06,2,0,100.76685638,6.24588442,0.72289419,0.21961618,211800.00000000,0.00000000,12.47589207
Pune,41,3,PUN-01|PUN-04|PUN-06,3,0,96.19149137,5.60279799,0.62614578,0.33090440,323600.00000000,0.00000000,12.29662037
Pune,42,3,PUN-02|PUN-04|PUN-06,3,0,96.27313442,5.60242081,0.63941300,0.30217466,311200.00000000,0.00000000,12.05370331
Pune,43,4,PUN-01|PUN-02|PUN-04|PUN-06,4,0,98.03123133,5.51910305,0.62316734,0.33561046,423000.00000000,0.00000000,12.05370331
Pune,44,3,PUN-03|PUN-04|PUN-06,3,0,82.99835547,4.05522013,0.55186164,0.39490430,318400.00000000,0.00000000,8.50773430
Pune,45,4,PUN-01|PUN-03|PUN-04|PUN-06,4,0,79.25330680,3.52778935,0.45580399,0.50619252,430200.00000000,0.00000000,8.41270447
Pune,46,4,PUN-02|PUN-03|PUN-04|PUN-06,4,0,79.87968358,3.59812045,0.47073048,0.47746278,417800.00000000,0.00000000,8.41270447
Pune,47,5,PUN-01|PUN-02|PUN-03|PUN-04|PUN-06,5,0,81.63778048,3.51480222,0.45448476,0.51089858,529600.00000000,0.00000000,8.41270447
Pune,48,2,PUN-05|PUN-06,2,0,98.04087160,6.00196886,0.69703823,0.27174972,202200.00000000,0.00000000,12.47589207
Pune,49,3,PUN-01|PUN-05|PUN-06,3,0,93.46554631,5.35888720,0.60028982,0.38303794,314000.00000000,0.00000000,12.29662037
Pune,50,3,PUN-02|PUN-05|PUN-06,3,0,93.54732702,5.35853052,0.61355704,0.35430820,301600.00000000,0.00000000,12.05370331
Pune,51,4,PUN-01|PUN-02|PUN-05|PUN-06,4,0,95.30542392,5.27521229,0.59731126,0.38774400,413400.00000000,0.00000000,12.05370331
