city,store_id,orders,avg_distance_km,breach_rate,avg_actual_delivery_min,avg_cost_to_serve,outside_catchment_rate,avg_basket_inr,serviceable_radius_km,first_breach_ring_lower_km,first_breach_rate,store_lat,store_lon,store_pincode,monthly_rent_inr,monthly_fixed_cost_inr,go_live_date
Hyderabad,HYD-01,9550,1.595935,0.057068,5.769792,68.412382,0.035812,608.921494,3.500000,3.000000,0.293515,17.447000,78.393000,500081,55200,66700,2024-02-19
Hyderabad,HYD-02,9062,2.600261,0.304900,8.153964,84.495143,0.340322,550.999304,3.000000,2.500000,0.223058,17.419000,78.439000,500034,58300,64700,2024-04-08
Hyderabad,HYD-03,8439,1.617296,0.178813,7.021264,71.167024,0.319943,493.932573,2.500000,2.000000,0.212963,17.442000,78.467000,500016,44600,58700,2024-08-12
Hyderabad,HYD-04,18029,2.792761,0.374175,8.730196,72.367012,0.512175,540.008104,3.000000,2.500000,0.229263,17.461000,78.368000,500084,47100,57400,2024-10-21
Hyderabad,HYD-05,5423,1.064152,0.062696,6.248763,73.185741,0.046284,550.485882,3.000000,2.500000,0.433333,17.403000,78.381000,500089,39700,52100,2025-02-10
Hyderabad,HYD-06,18080,2.180668,0.265487,7.700596,64.678394,0.359624,480.569132,3.000000,2.500000,0.262832,17.486000,78.409000,500072,43400,60100,2024-07-01
Jaipur,JAI-01,8540,2.145834,0.204567,7.135488,70.291326,0.213115,497.500084,3.500000,3.000000,0.367992,26.913000,75.742000,302015,33500,48200,2024-04-15
Jaipur,JAI-02,6565,2.319842,0.308149,7.917156,79.398070,0.313328,524.162623,4.000000,3.500000,0.622549,26.860000,75.810000,302017,31600,46900,2024-06-10
Jaipur,JAI-03,11809,2.473406,0.328986,8.773652,71.782465,0.288255,458.807111,3.000000,2.500000,0.337719,26.925000,75.800000,302004,36000,50200,2024-09-16
Jaipur,JAI-04,5830,1.604234,0.155060,6.871997,71.267371,0.123328,491.639952,4.000000,3.500000,0.736364,26.858000,75.766000,302018,29100,44900,2024-12-09
Jaipur,JAI-05,5782,2.683163,0.428053,9.441951,85.456302,0.445348,426.393343,2.500000,2.000000,0.205882,26.788000,75.823000,302033,27300,41600,2025-03-03
Pune,PUN-01,8366,1.764744,0.110208,6.201681,72.386674,0.103036,483.712613,3.500000,3.000000,0.289448,18.506500,73.809000,411038,48400,63400,2024-03-11
Pune,PUN-02,2736,1.386777,0.065424,6.344686,114.330975,0.000000,516.612102,3.000000,2.500000,0.208791,18.513000,73.815500,411038,44000,55400,2025-01-20
Pune,PUN-03,12788,1.787255,0.069049,6.181365,61.254138,0.030106,552.293832,3.500000,3.000000,0.282171,18.560000,73.797000,411007,45900,60700,2024-05-06
Pune,PUN-04,6587,2.180416,0.250797,8.316552,83.422921,0.359648,544.757387,2.500000,2.000000,0.212838,18.554500,73.900500,411014,42800,58100,2024-07-15
Pune,PUN-05,12827,2.879299,0.391830,9.376822,76.145583,0.350121,448.598789,4.000000,3.500000,0.744083,18.510000,73.923000,411028,37800,53500,2024-09-02
Pune,PUN-06,15591,1.768896,0.204349,7.609784,62.738886,0.225707,496.348793,2.500000,2.000000,0.211366,18.533000,73.846000,411006,51500,59400,2024-11-18
Pune,PUN-07,20152,2.766941,0.313716,8.275617,68.476368,0.324335,509.236831,3.500000,3.000000,0.327356,18.596000,73.791000,411027,40900,56800,2024-06-24
