facility_id,city,lat,lon,type,rent_inr,monthly_fixed_imputed_inr,monthly_occupancy_fixed_inr,fitout_inr,radius_km,store_pincode
PUN-01,Pune,18.506500,73.809000,existing,48400,63400.000000,111800.000000,0.000000,3.500000,411038
PUN-02,Pune,18.513000,73.815500,existing,44000,55400.000000,99400.000000,0.000000,3.000000,411038
PUN-03,Pune,18.560000,73.797000,existing,45900,60700.000000,106600.000000,0.000000,3.500000,411007
PUN-04,Pune,18.554500,73.900500,existing,42800,58100.000000,100900.000000,0.000000,2.500000,411014
PUN-05,Pune,18.510000,73.923000,existing,37800,53500.000000,91300.000000,0.000000,4.000000,411028
PUN-06,Pune,18.533000,73.846000,existing,51500,59400.000000,110900.000000,0.000000,2.500000,411006
PUN-07,Pune,18.596000,73.791000,existing,40900,56800.000000,97700.000000,0.000000,3.500000,411027
HYD-01,Hyderabad,17.447000,78.393000,existing,55200,66700.000000,121900.000000,0.000000,3.500000,500081
HYD-02,Hyderabad,17.419000,78.439000,existing,58300,64700.000000,123000.000000,0.000000,3.000000,500034
HYD-03,Hyderabad,17.442000,78.467000,existing,44600,58700.000000,103300.000000,0.000000,2.500000,500016
HYD-04,Hyderabad,17.461000,78.368000,existing,47100,57400.000000,104500.000000,0.000000,3.000000,500084
HYD-05,Hyderabad,17.403000,78.381000,existing,39700,52100.000000,91800.000000,0.000000,3.000000,500089
HYD-06,Hyderabad,17.486000,78.409000,existing,43400,60100.000000,103500.000000,0.000000,3.000000,500072
JAI-01,Jaipur,26.913000,75.742000,existing,33500,48200.000000,81700.000000,0.000000,3.500000,302015
JAI-02,Jaipur,26.860000,75.810000,existing,31600,46900.000000,78500.000000,0.000000,4.000000,302017
JAI-03,Jaipur,26.925000,75.800000,existing,36000,50200.000000,86200.000000,0.000000,3.000000,302004
JAI-04,Jaipur,26.858000,75.766000,existing,29100,44900.000000,74000.000000,0.000000,4.000000,302018
JAI-05,Jaipur,26.788000,75.823000,existing,27300,41600.000000,68900.000000,0.000000,2.500000,302033
CS-01,Pune,18.597500,73.764000,candidate,82000,58100.000000,140100.000000,1650000.000000,3.500000,411057
CS-02,Pune,18.576000,73.770000,candidate,76000,58100.000000,134100.000000,1480000.000000,3.500000,411045
CS-03,Pune,18.467000,73.888000,candidate,64000,58100.000000,122100.000000,1520000.000000,3.500000,411048
CS-04,Pune,18.509000,73.813000,candidate,88000,58100.000000,146100.000000,1390000.000000,3.500000,411038
CS-05,Pune,18.564000,73.908000,candidate,79000,58100.000000,137100.000000,1310000.000000,3.500000,411014
CS-06,Hyderabad,17.495000,78.360000,candidate,81000,59400.000000,140400.000000,1720000.000000,3.000000,500019
CS-07,Hyderabad,17.509000,78.391000,candidate,77000,59400.000000,136400.000000,1580000.000000,3.000000,500049
CS-08,Hyderabad,17.445000,78.396000,candidate,96000,59400.000000,155400.000000,1460000.000000,3.000000,500081
CS-09,Hyderabad,17.430000,78.408000,candidate,190000,59400.000000,249400.000000,2380000.000000,3.000000,500033
CS-10,Hyderabad,17.440000,78.348000,candidate,175000,59400.000000,234400.000000,2140000.000000,3.000000,500032
CS-11,Jaipur,26.942000,75.759000,candidate,56000,46900.000000,102900.000000,1240000.000000,3.500000,302012
CS-12,Jaipur,26.835000,75.854000,candidate,52000,46900.000000,98900.000000,1180000.000000,3.500000,302020
CS-13,Jaipur,26.963000,75.785000,candidate,49000,46900.000000,95900.000000,1090000.000000,3.500000,302021
CS-14,Jaipur,26.915000,75.745000,candidate,61000,46900.000000,107900.000000,980000.000000,3.500000,302015
CS-15,Jaipur,26.795000,75.830000,candidate,41000,46900.000000,87900.000000,920000.000000,3.500000,302033
