fixed_cost_factor,city,active_ids,avg_cost,economic_cost,expected_breach,coverage,fitout
0.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-01,57.39876064,58.55840828,0.18019067,0.82958240,1650000.00000000
0.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-01,61.86698841,63.02663604,0.18019067,0.82958240,1650000.00000000
1.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-01,66.33521617,67.49486381,0.18019067,0.82958240,1650000.00000000
1.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-01,70.80344393,71.96309157,0.18019067,0.82958240,1650000.00000000
2.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-01,75.27167170,76.43131933,0.18019067,0.82958240,1650000.00000000
0.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01,58.22768630,59.38733394,0.19511721,0.80085266,1650000.00000000
0.50000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01,62.59470845,63.75435609,0.19511721,0.80085266,1650000.00000000
1.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01,66.96173060,68.12137824,0.19511721,0.80085266,1650000.00000000
1.50000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01,71.32875275,72.48840039,0.19511721,0.80085266,1650000.00000000
2.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01,75.69577491,76.85542254,0.19511721,0.80085266,1650000.00000000
0.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01,58.38167426,59.54132189,0.17887148,0.83428846,1650000.00000000
0.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01,63.55075088,64.71039852,0.17887148,0.83428846,1650000.00000000
1.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01,68.71982751,69.87947514,0.17887148,0.83428846,1650000.00000000
1.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01,73.88890413,75.04855177,0.17887148,0.83428846,1650000.00000000
2.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01,79.05798076,80.21762839,0.17887148,0.83428846,1650000.00000000
0.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01,56.82223788,57.98188552,0.15989417,0.84105659,1650000.00000000
0.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01,62.00902549,63.16867313,0.15989417,0.84105659,1650000.00000000
1.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01,67.19581310,68.35546073,0.15989417,0.84105659,1650000.00000000
