city,delivery_pincode,orders,current_avg_distance_km,after_avg_distance_km,current_breach_rate,after_breach_rate,current_coverage,after_coverage,after_avg_cost,pincode_centroid_lat,pincode_centroid_lon,population_density_per_sqkm,estimated_population,high_risk_current
Hyderabad,500001,2201,6.307938,6.307938,0.993639,0.992197,0.000000,0.000000,131.070258,17.376000,78.479000,24800,79360,1
Hyderabad,500016,5631,0.820032,0.820032,0.012964,0.009823,1.000000,1.000000,60.519307,17.443000,78.468000,16400,75440,0
Hyderabad,500018,5305,3.367356,3.367356,0.506126,0.475273,0.054854,0.054854,91.915844,17.456000,78.436000,15100,77010,1
Hyderabad,500019,6325,3.966808,3.438833,0.655494,0.495108,0.112569,0.264822,88.274364,17.496000,78.358000,14700,107310,1
Hyderabad,500032,6659,3.191457,3.191457,0.418231,0.425153,0.415828,0.415828,79.676282,17.440000,78.348000,11200,98560,1
Hyderabad,500033,5404,2.322790,2.322790,0.110659,0.152185,0.960030,0.960030,76.797151,17.431000,78.407000,13600,73440,0
Hyderabad,500034,5055,0.825617,0.825617,0.004946,0.009972,1.000000,1.000000,63.226300,17.418000,78.438000,14900,70030,0
Hyderabad,500049,7946,3.344301,0.968060,0.492701,0.013415,0.348226,1.000000,61.553360,17.510000,78.390000,17800,119260,1
Hyderabad,500072,8811,0.906406,0.906406,0.009988,0.011947,1.000000,1.000000,57.314582,17.485000,78.411000,21300,117150,0
Hyderabad,500081,4790,0.861837,0.861837,0.003549,0.010882,1.000000,1.000000,61.888020,17.448000,78.391000,12900,63210,0
Hyderabad,500084,5314,0.970058,0.970058,0.007904,0.013660,1.000000,1.000000,51.251264,17.460000,78.366000,11600,73080,0
Hyderabad,500089,5142,0.918887,0.918887,0.027616,0.012316,1.000000,1.000000,70.658772,17.402000,78.383000,12400,70680,0
Jaipur,302001,4392,2.132176,2.132176,0.188525,0.145042,0.968124,0.968124,69.364260,26.920000,75.820000,23100,83160,0
Jaipur,302004,4153,1.226369,1.226369,0.050325,0.037285,1.000000,1.000000,59.774075,26.932000,75.793000,17400,74820,0
Jaipur,302012,4485,3.590422,0.927353,0.506800,0.018982,0.424526,1.000000,66.689076,26.943000,75.757000,15800,94800,1
Jaipur,302015,4816,1.084417,1.084417,0.009344,0.027237,1.000000,1.000000,72.336597,26.912000,75.737000,13200,91080,0
Jaipur,302017,4304,0.970210,0.970210,0.011152,0.022070,1.000000,1.000000,61.370101,26.857000,75.814000,14600,78840,0
Jaipur,302018,4891,1.079621,1.079621,0.023104,0.026717,1.000000,1.000000,63.744500,26.856000,75.762000,12800,92160,0
Jaipur,302019,3152,4.184246,4.184246,0.824239,0.789693,0.131345,0.131345,107.281583,26.818000,75.790000,11400,75240,1
Jaipur,302020,2623,5.195097,5.195097,0.936332,0.939425,0.003812,0.003812,118.428618,26.833000,75.857000,10900,85020,1
Jaipur,302021,2503,4.694624,3.488631,0.909708,0.553700,0.000000,0.502197,100.491153,26.965000,75.783000,13700,69870,1
Jaipur,302033,3207,1.192641,1.192641,0.058310,0.032806,1.000000,1.000000,63.176541,26.786000,75.820000,6400,60160,0
Pune,411001,4916,3.796504,3.796504,0.743694,0.617950,0.137510,0.137510,89.164015,18.515000,73.879000,21400,87739,1
Pune,411004,4173,1.843496,1.945406,0.131560,0.092285,0.949676,0.860292,59.795207,18.517000,73.840000,18900,64260,0
Pune,411006,5721,0.870090,0.870090,0.022024,0.014829,1.000000,1.000000,49.558919,18.535000,73.848000,17600,84480,0
Pune,411007,6099,1.320814,1.320814,0.019511,0.040040,1.000000,1.000000,57.489424,18.559000,73.807000,15200,94240,0
Pune,411014,6395,2.126507,2.126507,0.234246,0.141983,0.659578,0.659578,79.784381,18.567000,73.914000,13800,97980,1
Pune,411016,3990,1.476139,1.524217,0.074687,0.047915,1.000000,1.000000,55.131130,18.529000,73.833000,19800,59400,0
Pune,411021,5025,1.927775,1.927775,0.062687,0.104081,1.000000,1.000000,63.662618,18.559000,73.780000,12600,74340,0
Pune,411027,5836,0.878189,2.810349,0.003941,0.288207,1.000000,0.844585,72.238821,18.598000,73.790000,16900,87880,0
Pune,411028,7660,1.131971,1.131971,0.026240,0.024494,1.000000,1.000000,52.891925,18.509000,73.926000,14100,118440,0
Pune,411033,3249,5.085625,3.023781,0.873500,0.358565,0.000000,0.713143,75.619866,18.622000,73.750000,11800,80240,1
Pune,411038,5857,0.741089,0.810739,0.002561,0.013100,1.000000,1.000000,59.219905,18.507000,73.807000,20300,89320,0
Pune,411045,3766,3.037515,2.458409,0.283856,0.181413,0.781200,0.995220,67.283885,18.575000,73.769000,12200,59780,1
Pune,411048,3752,6.014608,6.014608,0.988806,0.973691,0.000000,0.000000,115.551571,18.464000,73.889000,18400,139840,1
Pune,411057,8965,3.099220,0.954477,0.316899,0.017176,0.682320,1.000000,50.911975,18.598000,73.762000,22600,144640,1
Pune,411058,3643,3.027919,3.027919,0.250343,0.347955,0.763382,0.763382,84.778009,18.482000,73.797000,13900,58380,1
