city,delivery_pincode,orders,avg_basket_inr,current_avg_cost,current_breach_rate,current_avg_distance_km,current_coverage,delivery_lat,delivery_lon,pincode,pincode_centroid_lat,pincode_centroid_lon,population_density_per_sqkm,area_sqkm,estimated_population,orders_per_1000_population,high_risk_flag,uncovered_orders
Hyderabad,500072,8811,476.430319,48.093275,0.009988,0.906406,1.000000,17.485079,78.411004,500072,17.485000,78.411000,21300,5.500000,117150,75.211268,0,0.000000
Hyderabad,500049,7946,488.644181,79.640547,0.492701,3.344301,0.348226,17.509448,78.390508,500049,17.510000,78.390000,17800,6.700000,119260,66.627536,1,5179.000000
Hyderabad,500032,6659,578.371952,77.075228,0.418231,3.191457,0.415828,17.440521,78.348453,500032,17.440000,78.348000,11200,8.800000,98560,67.562906,1,3890.000000
Hyderabad,500019,6325,466.096876,89.023180,0.655494,3.966808,0.112569,17.494797,78.358417,500019,17.496000,78.358000,14700,7.300000,107310,58.941385,1,5613.000000
Hyderabad,500016,5631,511.170316,60.613544,0.012964,0.820032,1.000000,17.442967,78.467960,500016,17.443000,78.468000,16400,4.600000,75440,74.642100,0,0.000000
Hyderabad,500033,5404,628.268645,75.551350,0.110659,2.322790,0.960030,17.430911,78.406943,500033,17.431000,78.407000,13600,5.400000,73440,73.583878,0,216.000000
Hyderabad,500084,5314,581.263384,48.619584,0.007904,0.970058,1.000000,17.459937,78.366020,500084,17.460000,78.366000,11600,6.300000,73080,72.714833,0,0.000000
Hyderabad,500018,5305,460.115206,90.713545,0.506126,3.367356,0.054854,17.455842,78.436213,500018,17.456000,78.436000,15100,5.100000,77010,68.887158,1,5014.000000
Hyderabad,500089,5142,546.046235,71.117771,0.027616,0.918887,1.000000,17.401887,78.382890,500089,17.402000,78.383000,12400,5.700000,70680,72.750424,0,0.000000
Hyderabad,500034,5055,614.701624,63.075495,0.004946,0.825617,1.000000,17.418019,78.438018,500034,17.418000,78.438000,14900,4.700000,70030,72.183350,0,0.000000
Hyderabad,500081,4790,601.456221,61.668018,0.003549,0.861837,1.000000,17.448094,78.391071,500081,17.448000,78.391000,12900,4.900000,63210,75.779149,0,0.000000
Hyderabad,500001,2201,412.098033,131.113516,0.993639,6.307938,0.000000,17.376696,78.478327,500001,17.376000,78.479000,24800,3.200000,79360,27.734375,1,2201.000000
Jaipur,302018,4891,502.409706,63.636102,0.023104,1.079621,1.000000,26.855874,75.762055,302018,26.856000,75.762000,12800,7.200000,92160,53.070747,0,0.000000
Jaipur,302015,4816,533.973104,57.005106,0.009344,1.084417,1.000000,26.911931,75.736883,302015,26.912000,75.737000,13200,6.900000,91080,52.876592,0,0.000000
Jaipur,302012,4485,450.730800,88.702093,0.506800,3.590422,0.424526,26.942402,75.756967,302012,26.943000,75.757000,15800,6.000000,94800,47.310127,1,2581.000000
Jaipur,302001,4392,443.083641,65.186838,0.188525,2.132176,0.968124,26.919971,75.820021,302001,26.920000,75.820000,23100,3.600000,83160,52.813853,0,140.000000
Jaipur,302017,4304,554.748311,61.042587,0.011152,0.970210,1.000000,26.856992,75.813964,302017,26.857000,75.814000,14600,5.400000,78840,54.591578,0,0.000000
Jaipur,302004,4153,493.277891,54.687247,0.050325,1.226369,1.000000,26.932123,75.793018,302004,26.932000,75.793000,17400,4.300000,74820,55.506549,0,0.000000
Jaipur,302033,3207,414.342201,63.941648,0.058310,1.192641,1.000000,26.786040,75.819910,302033,26.786000,75.820000,6400,9.400000,60160,53.307846,0,0.000000
Jaipur,302019,3152,425.239248,108.317964,0.824239,4.184246,0.131345,26.817779,75.790358,302019,26.818000,75.790000,11400,6.600000,75240,41.892610,1,2738.000000
Jaipur,302020,2623,479.879032,118.335832,0.936332,5.195097,0.003812,26.833307,75.855372,302020,26.833000,75.857000,10900,7.800000,85020,30.851564,1,2613.000000
Jaipur,302021,2503,431.064862,104.748244,0.909708,4.694624,0.000000,26.964064,75.783229,302021,26.965000,75.783000,13700,5.100000,69870,35.823673,1,2503.000000
Pune,411057,8965,535.430156,70.899323,0.316899,3.099220,0.682320,18.597985,73.762480,411057,18.598000,73.762000,22600,6.400000,144640,61.981471,1,2848.000000
Pune,411028,7660,456.567642,52.944313,0.026240,1.131971,1.000000,18.509087,73.926032,411028,18.509000,73.926000,14100,8.400000,118440,64.674097,0,0.000000
Pune,411014,6395,546.774391,82.552254,0.234246,2.126507,0.659578,18.566967,73.913909,411014,18.567000,73.914000,13800,7.100000,97980,65.268422,1,2177.000000
Pune,411007,6099,537.431471,56.501606,0.019511,1.320814,1.000000,18.559061,73.807009,411007,18.559000,73.807000,15200,6.200000,94240,64.717742,0,0.000000
Pune,411038,5857,515.080890,70.888255,0.002561,0.741089,1.000000,18.507082,73.807023,411038,18.507000,73.807000,20300,4.400000,89320,65.573220,0,0.000000
Pune,411027,5836,475.073934,45.965310,0.003941,0.878189,1.000000,18.597965,73.790040,411027,18.598000,73.790000,16900,5.200000,87880,66.408739,0,0.000000
Pune,411006,5721,491.157771,50.980240,0.022024,0.870090,1.000000,18.535065,73.848017,411006,18.535000,73.848000,17600,4.800000,84480,67.720170,0,0.000000
Pune,411021,5025,568.008006,62.047675,0.062687,1.927775,1.000000,18.558830,73.780039,411021,18.559000,73.780000,12600,5.900000,74340,67.594835,0,0.000000
Pune,411001,4916,465.783497,93.746985,0.743694,3.796504,0.137510,18.515252,73.878658,411001,18.515000,73.879000,21400,4.100000,87739,56.029816,1,4240.000000
Pune,411004,4173,524.201416,75.024981,0.131560,1.843496,0.949676,18.517085,73.840040,411004,18.517000,73.840000,18900,3.400000,64260,64.939309,0,210.000000
Pune,411016,3990,503.952704,65.678343,0.074687,1.476139,1.000000,18.528959,73.833026,411016,18.529000,73.833000,19800,3.000000,59400,67.171717,0,0.000000
Pune,411045,3766,558.877135,72.560359,0.283856,3.037515,0.781200,18.575225,73.769396,411045,18.575000,73.769000,12200,4.900000,59780,62.997658,1,824.000000
Pune,411048,3752,428.241002,116.005018,0.988806,6.014608,0.000000,18.466167,73.890384,411048,18.464000,73.889000,18400,7.600000,139840,26.830664,1,3752.000000
Pune,411058,3643,446.272188,85.427452,0.250343,3.027919,0.763382,18.482261,73.797168,411058,18.482000,73.797000,13900,4.200000,58380,62.401507,1,862.000000
Pune,411033,3249,466.434364,101.487391,0.873500,5.085625,0.000000,18.620898,73.751131,411033,18.622000,73.750000,11800,6.800000,80240,40.491027,1,3249.000000
