city,delivery_pincode,orders,population_density_per_sqkm,estimated_population,current_breach_rate,current_coverage,uncovered_orders
Hyderabad,500049,7946,17800,119260,0.492701,0.348226,5179.000000
Hyderabad,500032,6659,11200,98560,0.418231,0.415828,3890.000000
Hyderabad,500019,6325,14700,107310,0.655494,0.112569,5613.000000
Hyderabad,500018,5305,15100,77010,0.506126,0.054854,5014.000000
Hyderabad,500001,2201,24800,79360,0.993639,0.000000,2201.000000
Jaipur,302012,4485,15800,94800,0.506800,0.424526,2581.000000
Jaipur,302019,3152,11400,75240,0.824239,0.131345,2738.000000
Jaipur,302020,2623,10900,85020,0.936332,0.003812,2613.000000
Jaipur,302021,2503,13700,69870,0.909708,0.000000,2503.000000
Pune,411057,8965,22600,144640,0.316899,0.682320,2848.000000
Pune,411014,6395,13800,97980,0.234246,0.659578,2177.000000
Pune,411001,4916,21400,87739,0.743694,0.137510,4240.000000
Pune,411045,3766,12200,59780,0.283856,0.781200,824.000000
Pune,411048,3752,18400,139840,0.988806,0.000000,3752.000000
Pune,411058,3643,13900,58380,0.250343,0.763382,862.000000
Pune,411033,3249,11800,80240,0.873500,0.000000,3249.000000
