city,assigned_facility,orders,avg_distance_km,p90_distance_km,expected_breach_rate,coverage,avg_after_cost,avg_fixed_cost
Hyderabad,HYD-04,14874,2.445353,4.086387,0.291181,0.591300,69.904263,14.051365
Hyderabad,CS-07,11192,1.675230,3.637396,0.149730,0.796015,70.593075,24.374553
Hyderabad,HYD-06,10043,1.238152,3.376310,0.081136,0.877327,61.712505,20.611371
Hyderabad,HYD-01,9550,1.595935,2.847833,0.090353,0.964188,69.410924,25.528796
Hyderabad,HYD-02,9062,2.600261,6.424459,0.315570,0.659678,84.815256,27.146325
Hyderabad,HYD-03,8439,1.617296,3.494104,0.144264,0.680057,70.130551,24.481574
Hyderabad,HYD-05,5423,1.064152,1.452136,0.043182,0.953716,72.600333,33.855799
Jaipur,JAI-03,8586,1.702925,2.684941,0.095821,0.978919,64.874319,20.079199
Jaipur,CS-11,6947,1.832090,3.936903,0.207312,0.826544,78.668277,29.624298
Jaipur,JAI-02,6565,2.319842,5.291499,0.323185,0.686672,79.849146,23.914699
Jaipur,JAI-04,5830,1.604234,4.184672,0.156176,0.876672,71.300839,25.385935
Jaipur,JAI-05,5782,2.683163,5.046389,0.389464,0.554652,84.298636,23.832584
Jaipur,JAI-01,4816,1.084417,1.706944,0.027237,1.000000,72.336597,33.928571
Pune,CS-01,20431,1.959469,3.415840,0.160585,0.915129,62.248290,13.714454
Pune,PUN-06,17034,1.818028,3.668869,0.149035,0.771516,60.218253,13.021017
Pune,PUN-05,12827,2.879299,6.316301,0.377154,0.649879,75.705300,14.235597
Pune,PUN-03,12509,1.738710,2.802118,0.093567,0.990167,62.021706,17.043729
Pune,PUN-01,9659,1.676537,3.443677,0.142323,0.910757,69.154844,23.149394
Pune,PUN-04,6587,2.180416,3.162138,0.158051,0.640352,80.640544,30.636101
