store_id,serviceable_radius_km,first_breach_ring_lower_km,first_breach_rate,city,store_pincode,monthly_rent_inr,monthly_fixed_cost_inr
HYD-01,3.500000,3.000000,0.293515,Hyderabad,500081,55200,66700
HYD-02,3.000000,2.500000,0.223058,Hyderabad,500034,58300,64700
HYD-03,2.500000,2.000000,0.212963,Hyderabad,500016,44600,58700
HYD-04,3.000000,2.500000,0.229263,Hyderabad,500084,47100,57400
HYD-05,3.000000,2.500000,0.433333,Hyderabad,500089,39700,52100
HYD-06,3.000000,2.500000,0.262832,Hyderabad,500072,43400,60100
JAI-01,3.500000,3.000000,0.367992,Jaipur,302015,33500,48200
JAI-02,4.000000,3.500000,0.622549,Jaipur,302017,31600,46900
JAI-03,3.000000,2.500000,0.337719,Jaipur,302004,36000,50200
JAI-04,4.000000,3.500000,0.736364,Jaipur,302018,29100,44900
JAI-05,2.500000,2.000000,0.205882,Jaipur,302033,27300,41600
PUN-01,3.500000,3.000000,0.289448,Pune,411038,48400,63400
PUN-02,3.000000,2.500000,0.208791,Pune,411038,44000,55400
PUN-03,3.500000,3.000000,0.282171,Pune,411007,45900,60700
PUN-04,2.500000,2.000000,0.212838,Pune,411014,42800,58100
PUN-05,4.000000,3.500000,0.744083,Pune,411028,37800,53500
PUN-06,2.500000,2.000000,0.211366,Pune,411006,51500,59400
PUN-07,3.500000,3.000000,0.327356,Pune,411027,40900,56800
